port,count
80,93
443,8
42598,2
35791,2
2435,1
45795,1
50383,1
57095,1
51906,1
48334,1
61460,1
38613,1
57484,1
50826,1
42112,1
57812,1
58644,1
43274,1
43195,1
46714,1
